Rank,College Name,Location,Median SAT,Median ACT,Est. price 2019-20 without aid,Est. price 2019-20 with avg. grant,% of students who get any grants,Average student debt,Early career earnings
28,The University of Texas at Austin,Austin. TX,1340,30,26.600,15.300,0.5,21.500,59.100
29,California State University-Northridge,Northridge. CA,1020,20,23.100,6.400,0.7,13.830,49.600
30,University of California-Santa Barbara,Santa Barbara. CA,1300,31,37.700,17.200,0.62,16.300,57.300
30,University of Notre Dame,Notre Dame. IN,1450,33,72.500,29.300,0.62,21.430,64.700
32,University of Pennsylvania,Philadelphia. PA,1490,34,74.900,26.200,0.53,12.990,70.100
33,Binghamton University,Vestal. NY,1360,30,27.300,17.900,0.51,19.500,58.900
34,Virginia Polytechnic Institute and State University,Blacksburg. VA,1270,28,27.400,20.000,0.49,23.250,60.900
35,CUNY Brooklyn College,Brooklyn. NY,1130,NA,36.500,4.400,0.61,10.500,50.100
36,California State University-Los Angeles,Los Angeles. CA,990,18,26.000,4.200,0.83,12.500,49.200
37,Swarthmore College,Swarthmore. PA,1460,33,71.900,21.800,0.58,19.500,63.800
38,Bates College,Lewiston. ME,NA,NA,71.900,24.900,0.46,14.120,57.500
39,Williams College,Williamstown. MA,1480,33,73.800,20.800,0.54,14.490,64.000
40,North Carolina State University at Raleigh,Raleigh. NC,1310,29,24.800,14.300,0.53,20.710,55.800
41,California State Polytechnic University-Pomona,Pomona. CA,1120,24,27.200,13.500,0.67,18.500,56.000
42,University of Connecticut,Storrs. CT,1300,29,32.400,20.000,0.61,21.500,57.700
43,University of Maryland-College Park,College Park. MD,1380,31,27.700,18.400,0.49,19.500,60.000
43,College of the Holy Cross,Worcester. MA,NA,NA,69.200,28.800,0.56,28.000,58.800
45,College of William and Mary,Williamsburg. VA,1390,31,39.000,18.600,0.46,19.340,57.100
46,University of Wisconsin-Madison,Madison. WI,1370,29,26.800,17.000,0.41,22.240,55.700
47,Stony Brook University,Stony Brook. NY,1310,29,26.600,15.300,0.57,18.960,57.000
48,The College of New Jersey,Ewing. NJ,1250,NA,36.000,24.400,0.39,23.250,57.200
49,Virginia Military Institute,Lexington. VA,1190,26,32.000,17.200,0.72,23.900,63.900
50,Rutgers University-New Brunswick,New Brunswick. NJ,1300,NA,33.000,17.100,0.5,22.250,57.800
51,California State University-Fresno,Fresno. CA,1010,19,21.300,6.300,0.75,14.370,49.800
52,University of North Carolina at Chapel Hill,Chapel Hill. NC,1370,31,26.700,11.800,0.52,16.660,53.500
53,CUNY John Jay College of Criminal Justice,New York. NY,1060,NA,35.400,5.200,0.63,10.000,44.600
54,Colgate University,Hamilton. NY,1410,32,73.000,23.700,0.48,16.130,65.000
55,Purdue University,West Lafayette. IN,1270,28,23.800,12.900,0.5,20.430,60.200
56,California State University-Chico,Chico. CA,1080,22,25.500,15.100,0.62,16.750,55.100
57,James Madison University,Harrisonburg. VA,1180,26,27.300,17.200,0.34,20.500,55.800
58,Union College,Schenectady. NY,NA,NA,71.700,39.600,0.77,25.830,60.900
59,Michigan State University,East Lansing. MI,1210,26,29.700,17.800,0.52,25.200,53.900
60,Pomona College,Claremont. CA,1450,32,72.800,18.800,0.6,13.400,60.500
61,Georgetown University,Washington. DC,1440,32,74.800,29.300,0.4,15.490,63.700
62,Northwestern University,Evanston. IL,1490,33,76.200,27.900,0.54,17.500,61.500
63,California State University-Monterey Bay,Seaside. CA,1070,21,24.400,12.000,0.69,13.750,48.700
64,George Mason University,Fairfax. VA,1200,27,30.500,19.900,0.49,19.500,57.200
64,Amherst College,Amherst. MA,1480,33,74.500,20.800,0.59,13.000,62.300
66,Cooper Union for the Advancement of Science and Art,New York. NY,1420,31,67.900,30.400,1.0,14.750,65.900
67,Lafayette College,Easton. PA,1350,30,71.700,27.900,0.51,24.790,64.200
68,California State University-Stanislaus,Turlock. CA,NA,NA,21.500,7.200,0.82,14.220,48.000
69,University of Delaware,Newark. DE,1230,27,29.000,17.400,0.63,24.250,56.700
70,California State University-San Bernardino,San Bernardino. CA,1000,19,25.300,9.300,0.81,15.000,47.900
71,SUNY College of Environmental Science and Forestry,Syracuse. NY,1230,26,28.500,19.400,0.76,19.200,51.800
72,Brown University,Providence. RI,1490,33,74.200,27.400,0.46,16.130,65.400
73,University of Illinois at Chicago,Chicago. IL,1210,23,32.000,12.700,0.65,18.110,55.000
